time,/jointset/shoulder0/elv_angle/value,/jointset/shoulder1/shoulder_elv/value,/jointset/shoulder2/shoulder_rot/value,/jointset/elbow/elbow_flexion/value,/jointset/radioulnar/pro_sup/value,/jointset/shoulder0/elv_angle/speed,/jointset/shoulder1/shoulder_elv/speed,/jointset/shoulder2/shoulder_rot/speed,/jointset/elbow/elbow_flexion/speed,/jointset/radioulnar/pro_sup/speed,x,z,/tau_elv_angle,/tau_shoulder_elv,/tau_shoulder_rot,/tau_elbow_flexion,/tau_pro_sup
0.28,0.732502211,0.822562027,0.361634773,1.145299145,0.516646917,1.199517266,1.364302151,-0.13518368,-5.296466272,6.472069705,0.410498017,0.313832017,-0.064911683,-0.039685101,-0.021373546,0.008531806,-0.001379595
0.285833333,0.739341561,0.830255213,0.360009898,1.114749484,0.556406075,1.144584396,1.272663914,-0.407617234,-5.17076003,7.214599027,0.410498017,0.313832017,-0.071747107,-0.044487076,-0.019550272,0.010477643,-0.001146907
0.291666667,0.745846147,0.837401631,0.357046059,1.085054613,0.601458409,1.084740825,1.176838483,-0.594257249,-5.003395378,8.286872838,0.410498017,0.313832017,-0.078582531,-0.04928905,-0.017726998,0.012423481,-0.00091422
0.2975,0.751986923,0.843972657,0.353029901,1.056478732,0.652929184,1.019762655,1.074682801,-0.807846169,-4.777212761,9.291053399,0.410498017,0.313832017,-0.085926906,-0.054941372,-0.015085162,0.01601607,-0.001573457
0.303333333,0.757732816,0.849923238,0.347327946,1.029516894,0.709046737,0.949352721,0.964114112,-1.172245003,-4.450009215,9.880053974,0.410498017,0.313832017,-0.09327128,-0.060593694,-0.012443326,0.019608659,-0.002232694
0.309166667,0.763047241,0.855214346,0.339500868,1.004744938,0.76947132,0.870983593,0.850238002,-1.454879403,-4.03695212,11.13236731,0.410498017,0.313832017,-0.104629191,-0.065803922,-0.007403714,0.022261693,-0.001080461
0.315,0.76787385,0.859845689,0.33101288,0.982492396,0.842370941,0.782101863,0.737908956,-1.398842802,-3.586209869,14.15721016,0.410498017,0.313832017,-0.115987102,-0.071014151,-0.002364102,0.024914727,7.18e-05
0.320833333,0.77214976,0.863817419,0.323309524,0.962905055,0.932754785,0.68183454,0.622546567,-1.293838134,-3.107191317,16.25653482,0.410498017,0.313832017,-0.127605989,-0.076645899,0.004582147,0.033111611,-0.003103893
0.326666667,0.775804206,0.867093797,0.315316912,0.946501512,1.025322163,0.569028537,0.499503143,-1.4980166,-2.494622196,14.90585051,0.410498017,0.313832017,-0.139224875,-0.082277647,0.011528395,0.041308495,-0.006279558
0.3325,0.778759165,0.869638296,0.30611518,0.93451564,1.114390844,0.441236196,0.372873266,-1.502710761,-1.568712258,17.49259633,0.410498017,0.313832017,-0.158392446,-0.092200149,0.017286697,0.042451401,-9.73e-05
0.338333333,0.780918548,0.871443716,0.299583727,0.92873779,1.251109608,0.296259589,0.246104557,-0.582492609,-0.366157551,31.2430214,0.410498017,0.313832017,-0.177560017,-0.102122651,0.023044999,0.043594308,0.006084996
0.344166667,0.782204971,0.872512065,0.299817212,0.928916376,1.456117543,0.145632302,0.120903011,0.42409681,0.27477071,33.18943795,0.410498017,0.313832017,-0.151202436,-0.076708688,0.020744792,0.064996111,-0.015279798
0.35,0.782627304,0.872862609,0.301749633,0.930162922,1.57,0.0,0.0,0.0,0.0,0.0,0.410498017,0.313832017,-0.124844855,-0.051294726,0.018444585,0.086397915,-0.036644592
0.0,0.349066,0.436332,0.0,1.5708,1.57,0.0,0.0,0.0,0.0,0.0,0.454432,0.207766,-0.009960971,0.071130582,0.180234984,0.004667228,-0.037003815
0.005833333,0.349044265,0.437155914,0.010763783,1.550268146,1.417576206,0.013131029,0.267806271,3.410815167,-5.6453371,-43.42869689,0.454432,0.207766,0.1095535,0.078132646,0.136887199,0.032082646,-0.011610763
0.011666667,0.34945933,0.439285157,0.036530554,1.521202885,1.166358913,0.149759636,0.447541242,5.143881621,-2.925739483,-33.87205696,0.454432,0.207766,0.229067971,0.085134709,0.093539415,0.059498063,0.013782289
0.0175,0.350938257,0.442196839,0.065619774,1.518680675,1.046342058,0.362527244,0.546610854,4.982382835,1.267835238,-12.23759391,0.454432,0.207766,0.257007019,0.082876158,0.030743126,0.044807245,-0.000199954
0.023333333,0.353749784,0.445613997,0.096441228,1.526740917,0.96570848,0.606650758,0.620847517,5.737790704,0.702529193,-20.36921906,0.454432,0.207766,0.284946067,0.080617606,-0.032053162,0.030116427,-0.014182197
0.029166667,0.358027845,0.449362765,0.133306322,1.526347211,0.802980289,0.860454465,0.655230602,6.587170891,-0.441603093,-31.87437039,0.454432,0.207766,0.287317975,0.074280089,-0.042919697,0.045673026,-0.006062223
0.035,0.363792403,0.453150862,0.1696224,1.52620784,0.635245044,1.116307055,0.634331932,5.549556759,0.78972972,-22.08592338,0.454432,0.207766,0.289689883,0.067942572,-0.053786232,0.061229625,0.002057752
0.040833333,0.371052896,0.456738308,0.196599706,1.535307446,0.551940876,1.372133557,0.600542804,3.885198732,2.085934702,-8.935112961,0.454432,0.207766,0.279682728,0.067031154,-0.055700517,0.029426867,-0.002564445
